[USGS-raw_LOC],SHEF_LOC,DSS_A-PART,DSS_B-PART,DSS_F-PART,DSS_SUB-LOCATIONS,DSS_SUB-PARAMETERS,CWMS_LOC,CWMS_VER,CWMS_SUB-LOCATIONS,CWMS_SUB-PARAMETERS,PARAMETERS
[03314000],Alvaton,GREEN,Alvaton,USGS-raw,,,Alvaton,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03312900],Barren-Lake,GREEN,Barren-Lake,USGS-raw,,,Barren-Lake,USGS-raw,,,"Res Elevation,Stage"
[03314500],BowlingGreenKY,GREEN,BowlingGreenKY,USGS-raw,,,BowlingGreenKY,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03311505],Brownsville,GREEN,Brownsville,USGS-raw,,,Brownsville,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03320000],Calhoun,GREEN,Calhoun,USGS-raw,,,Calhoun,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03306000],Campbellsville,GREEN,Campbellsville,USGS-raw,,,Campbellsville,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03307000],Columbia,GREEN,Columbia,USGS-raw,,,Columbia,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03319000],Dundee,GREEN,Dundee,USGS-raw,,,Dundee,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03313000],Finney,GREEN,Finney,USGS-raw,,,Finney,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03305990],Green-Lake,GREEN,Green-Lake,USGS-raw,,,Green-Lake,USGS-raw,,,"Res Elevation,Stage,Precip"
[03306500],Greensburg,GREEN,Greensburg,USGS-raw,,,Greensburg,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03311000],Kyrock,GREEN,Kyrock,USGS-raw,,,Kyrock,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03319885],Livermore,GREEN,Livermore,USGS-raw,,,Livermore,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03308500],Munfordville,GREEN,Munfordville,USGS-raw,,,Munfordville,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03310900],Nolin-Lake,GREEN,Nolin-Lake,USGS-raw,,,Nolin-Lake,USGS-raw,,,"Res Elevation,Flow,Stage,Precip,Water Temp"
[03318005],Rough-Lake,GREEN,Rough-Lake,USGS-raw,,,Rough-Lake,USGS-raw,,,"Res Elevation,Stage,Precip"
[03318010],RoughRiverTW,GREEN,RoughRiverTW,USGS-raw,,,RoughRiverTW,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03315500],Woodbury,GREEN,Woodbury,USGS-raw,,,Woodbury,USGS-raw,,,"Flow,Stage,Precip,Water Temp"