[USGS_LOC],SHEF_LOC,DSS_A-PART,DSS_B-PART,DSS_F-PART,PARAMETERS
[03400785],SMHK2,,SMHK2-MARTINSFK-SMITHKY,DCP-REV,"Stage,Flow"
[03404820],CBNK2,,CBNK2-LAURELR-CORBINKY,DCP-REV,"Stage,Flow"
[03404900],CORK2,,CORK2-LYNNCAMPCR-CORBINKY,DCP-REV,"Stage,Flow"
[03400500],CMBK2,,CMBK2-POORFK-CUMBERLANDKY,DCP-REV,"Stage,Flow"
[03400986],NCFK2,,NCFK2-MARTINSFK-HARLANKY,DCP-REV,"Stage,Flow"
[03401000],LYLK2,,LYLK2-CUMBERLANDR-LOYALLKY,DCP-REV,"Stage,Flow"
[03402900],PVLK2,,PVLK2-CUMBERLANDR-PINEVILLEKY,DCP-REV,"Stage,Flow"
[03403500],BBVK2,,BBVK2-CUMBERLANDR-BARBOURVILLEKY,DCP-REV,"Stage,Flow"
[03404000],WLBK2,,WLBK2-CUMBERLANDR-WILLIAMSBURGKY,DCP-REV,"Stage,Flow"
[03404500],CFAK2,,CFAK2-CUMBERLANDR-CUMBERLANDFALLSKY,DCP-REV,"Stage,Flow"
[03403910],SXTK2,,SXTK2-CLEARFK-SAXTONKY,DCP-REV,"Stage,Flow"
[03402000],MDLK2,,MDLK2-YELLOWCR-MIDDLESBOROKY,DCP-REV,"Stage,Flow"
[03406500],BLWK2,,BLWK2-ROCKCASTLER-BILLOWSKY,DCP-REV,"Stage,Flow"
[03407500],SHVK2,,SHVK2,DCP-REV,"Stage,Flow"
[03410590],,,ROCKCR YAMACRAW,DCP-REV,"Stage,Flow"
[03409500],CFKT1,,CFKT1-CLEARFKR-NRROBINSTN,DCP-REV,"Stage,Flow"
[03408500],NRVT1,,NRVT1-NEWR-NRROBINSTN,DCP-REV,"Stage,Flow"
[03410210],LTWT1,,LTWT1-SFKCUMBERLANDR-LEATHERWOODFORDTN,DCP-REV,"Stage,Flow"
[03410500],STRK2,,STRK2-SFKCUMBERLANDR-STEARNSKY,DCP-REV,"Stage,Flow"
[03413200],MTCK2,,MTCK2-BEAVERCR-MONTICELLOKY,DCP-REV,"Stage,Flow"
[03414500],JAGT1,,JAGT1-EFKOBEYR-JAMESTOWNTN,DCP-REV,"Stage,Flow"
[03415000],ALPT1,,ALPT1-WFKOBEYR-ALPINETN,DCP-REV,"Stage,Flow"
[03416000],BYGT1,,BYGT1-WOLFR-BYRDSTOWNTN,DCP-REV,"Stage,Flow"
[03414078],,,CROCUS CR,DCP-REV,"Stage,Flow"
[03414100],BRKK2,,BRKK2-CUMBERLANDR-BURKESVILLEKY,DCP-REV,"Stage,Flow"
[03417500],CLAT1,,CLAT1-CUMBERLANDR-CELINATN,DCP-REV,"Stage,Flow"
[03418224],JNCT1,,JNCT1-JENNINGSCR-WHITLEYVILLETN,DCP-REV,"Stage,Flow"
[03418000],,,ROARINGR HILHAM,DCP-REV,"Stage,Flow"
[03423000],,,FALLINGWATERR,DCP-REV,"Stage,Flow"
[03419530],CAFT1,,CAFT1-CALFKILLERR-BLWSPARTATN,DCP-REV,"Stage,Flow"
[03421000],MCGT1,,MCGT1-COLLINSR-MCMINNVILLETN,DCP-REV,"Stage,Flow"
[03424730],GVST1,,GVST1-SMITHFKCR-TEMPERANCEHALLTN,DCP-REV,"Stage,Flow"
[03424860],STWT1,,STWT1-CANEYFK-STONEWALLTN,DCP-REV,"Stage,Flow"
[03425000],CTHT1,,CTHT1-CUMBERLANDR-CARTHAGETN,DCP-REV,"Stage,Flow"
[03425520],,,SPRINGCRBLWLEBANON,DCP-REV,"Stage,Flow"
[03425622],,,BLEDSOECR BETHPG,DCP-REV,"Stage,Flow"
[03427500],LAST1,,LAST1-EFKSTONESR-LASCASSASTN,DCP-REV,"Stage,Flow"
[03428200],MUGT1,,MUGT1-WFKSTONESR-MURFREESBOROTN,DCP-REV,"Stage,Flow"
[03426470],,,DRYCR EDENWOLD,DCP-REV,"Stage,Flow"
[03430200],,,STONESR DONELSON,DCP-REV,"Stage,Flow"
[03430550],,,MILLCR NOLENSVLL,DCP-REV,"Stage,Flow"
[03431000],ANTT1,,ANTT1-MILLCR-ANTIOCHTN,DCP-REV,"Stage,Flow"
[03431060],WBNT1,,WBNT1-MILLCR-NRWOODBINETN,DCP-REV,"Stage,Flow"
[03431300],NBCT1,,NBCT1,DCP-REV,"Stage,Flow"
[03431500],NAST1,,NAST1-CUMBERLANDR-NASHVILLETN,DCP-REV,"Stage,Flow"
[03431599],BORT1,,BORT1,DCP-REV,"Stage,Flow"
[03431700],NRCT1,,NRCT1,DCP-REV,"Stage,Flow"
[03431790],,,CUMBR ASHLANDCTY,DCP-REV,"Stage,Flow"
[03431800],ACST1,,ACST1-SYCAMORECR-ASHLANDCITYTN,DCP-REV,"Stage,Flow"
[0343233905],,,HARPETHRABVFRANKLIN,DCP-REV,"Stage,Flow"
[03432350],FRAT1,,FRAT1-HARPETHR-FRANKLINTN,DCP-REV,"Stage,Flow"
[03432400],HBFT1,,HBFT1-HARPETHR-BLWFRANKLINTN,DCP-REV,"Stage,Flow"
[03433500],BELT1,,BELT1-HARPETHR-BELLEVUETN,DCP-REV,"Stage,Flow"
[03434500],KINT1,,KINT1-HARPETHR-KINGSTONSPRINGSTN,DCP-REV,"Stage,Flow"
[03435105],,,REDR DOT,DCP-REV,"Stage,Flow"
[03436100],PORT1,,PORT1-REDR-PORTROYALTN,DCP-REV,"Stage,Flow"
[03436690],EMGT1,,EMGT1-YELLOWCR-ELLISMILLSTN,DCP-REV,"Stage,Flow"
[03437495],SFKLI,,SFKLITTLER68BYHOPKINS,DCP-REV,"Stage,Flow"
[03438000],CDZK2,,CDZK2-LITTLER-CADIZKY,DCP-REV,"Stage,Flow"
[03596000],DUCKR,,DUCKR MANCHESTER,DCP-REV,"Stage,Flow"
[03597590],WARTR,,WARTRACECR WARTC,DCP-REV,"Stage,Flow"
[03598000],SHVT1,,SHVT1-DUCKR-NRSHELBYVILLETN,DCP-REV,"Stage,Flow"
[03598185],DUCKR,,DUCKR HALLS MILL,DCP-REV,"Stage,Flow"
[03599100],DBLT1,,DBLT1-BIGROCKCR-NRDOUBLEBRIDGESTN,DCP-REV,"Stage,Flow"
[03599240],MLTT1,,MLTT1-DUCKR-ABVMILLTOWNTN,DCP-REV,"Stage,Flow"
[03599419],DUCKR,,DUCKR POTTSVILLE,DCP-REV,"Stage,Flow"
[03599450],FNHT1,,FNHT1-FOUNTAINCR-NRFOUNTAINHEIGHTSTN,DCP-REV,"Stage,Flow"
[03599500],COLT1,,COLT1-DUCKR-COLUMBIATN,DCP-REV,"Stage,Flow"
[03600358],DUCKR,,DUCKR WILLIAMSPT,DCP-REV,"Stage,Flow"
[03601600],DUCKR,,DUCKR SHADYGROVE,DCP-REV,"Stage,Flow"
[03601990],CNVT1,,CNVT1-DUCKR-CENTERVILLETN,DCP-REV,"Stage,Flow"
[03602500],VERT1,,VERT1-PINEYR-VERNONTN,DCP-REV,"Stage,Flow"
[03603000],HMLT1,,HMLT1-DUCKR-ABVHURRICANEMILLSTN,DCP-REV,"Stage,Flow"
[03604000],FLTT1,,FLTT1-BUFFALOR-NRFLATWOODSTN,DCP-REV,"Stage,Flow"
[03604400],LBVT1,,LBVT1-BUFFALOR-BLWLOBELVILLETN,DCP-REV,"Stage,Flow"
[03437495],HORT1,,HORT1-HORSECR-NRSAVANNAHTN,DCP-REV,"Stage,Flow"
[03594421],BCHT1,,BCHT1-BEECHR-NRLEXINGTONTN,DCP-REV,"Stage,Flow"
[03606500],BIGT1,,BIGT1-BIGSANDYR-BRUCETONTN,DCP-REV,"Stage,Flow"
[03605078],CMTT1,,CMTT1-CYPRESSCR-CAMDENTN,DCP-REV,"Stage,Flow"
[03610200],AMOK2,,AMOK2-CLARKSR-ALMOKY,DCP-REV,"Stage,Flow"
